line_length_trans,word_count_trans,verb_percentage_trans,adj_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
1.2765180070092417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6058144886858523,1.31101942303975,1.8370905500142276,0.0,2.3664319132398464,1.1832159566199232,2.4899799195977463,2.23606797749979
1.195813174500402,1.0717734625362931,0.0,0.0,4.47213595499958,0.0,0.0,2.8577975428007782
1.4890953247181091,1.148698354997035,0.0,2.6591479484724942,0.0,0.0,0.0,0.0
1.3510667516017707,1.0,0.0,3.1622776601683795,0.0,2.588435821108957,0.0,0.0
1.360790000174377,1.0717734625362931,0.0,2.4022104858861564,0.0,2.4899799195977463,0.0,0.0
1.5928377813306158,1.2589254117941673,2.087759478663449,0.0,1.7320508075688772,1.7320508075688772,3.0166206257996713,0.0
1.3787157053417285,1.1161231740339044,0.0,0.0,0.0,0.0,0.0,2.8577975428007782
1.6466408667027277,1.3195079107728942,2.276638114962505,1.5585222360615276,2.1213203435596424,1.0488088481701516,0.0,0.0
1.3407492401952805,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,0.0
1.5577156943237602,1.2709816152101407,2.024693852005457,1.6973426460728507,1.9235384061671346,1.378404875209022,2.8809720581775866,1.6973426460728507
1.6466408667027277,1.31101942303975,1.8370905500142276,1.5779670210741878,2.3664319132398464,1.0488088481701516,0.0,1.8803015465431967
1.6605515380991513,1.2820888539868154,1.9219973427746713,1.632354899798094,1.449137674618944,1.449137674618944,0.0,0.0
1.3699873177397457,1.174618943088019,0.0,0.0,0.0,4.195235392680606,0.0,2.7489005429307594
1.5511972929971547,1.4696360133599293,1.2599210498948732,0.0,0.0,2.4083189157584592,0.0,2.975630596776331
1.3699873177397457,1.0717734625362931,0.0,2.6591479484724942,0.0,0.0,0.0,0.0
1.360790000174377,1.0717734625362931,0.0,2.4022104858861564,0.0,2.4899799195977463,0.0,0.0
1.360790000174377,1.0717734625362931,0.0,2.4022104858861564,0.0,2.4899799195977463,0.0,0.0
1.4480892742853726,1.214814044039067,0.0,0.0,1.8973665961010275,2.6645825188948455,0.0,2.8577975428007782
1.8635022489239097,1.4757731615945522,2.0487996145182663,1.6207359770526288,2.345207879911715,1.8165902124584952,1.3038404810405297,1.7914690360640462
1.6360961005932173,1.3020054543174677,2.6590057904691733,1.5779670210741878,1.5491933384829668,1.5491933384829668,0.0,2.082281603850872
1.2915496650148839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2765180070092417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.610778682311281,1.2589254117941673,0.0,0.0,1.1832159566199232,2.345207879911715,3.7815340802378077,2.55925949397968
1.1665290395761165,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,2.6591479484724942
1.662464632826401,1.31101942303975,1.885203631020986,1.9096901596233076,2.024845673131659,1.0,0.0,1.6088616538127065
1.7538354746818776,1.379729661461215,1.5326188647871062,2.1508169151483236,2.1213203435596424,1.5811388300841898,0.0,1.3774493079968597
1.4844415983612418,1.174618943088019,0.0,0.0,1.7029386365926402,2.3874672772626644,0.0,2.55925949397968
1.4980679431428716,1.174618943088019,2.7144176165949063,0.0,0.0,0.0,4.47213595499958,2.114742526881128
1.5226702163025172,1.148698354997035,0.0,0.0,0.0,1.51657508881031,0.0,3.1622776601683795
1.2599210498948732,1.0717734625362931,3.6840314986403864,0.0,0.0,0.0,0.0,0.0
1.3407492401952805,1.0717734625362931,0.0,2.6591479484724942,0.0,0.0,0.0,0.0
1.8839725750216032,1.487399348620308,1.4736125994561546,1.337480609952844,2.23606797749979,1.8165902124584952,3.082207001484488,2.244959079213174
1.6007244024062173,1.3020054543174677,1.885203631020986,1.6088616538127065,2.4083189157584592,1.1832159566199232,2.588435821108957,1.6088616538127065
1.8846716378431192,1.4696360133599293,2.24401702659183,1.6548754598234365,2.23606797749979,1.6431676725154984,0.0,1.971261485837201
1.9938484691064855,1.5459998956507686,1.8370905500142276,1.6922069059826197,1.8973665961010275,2.0976176963403033,1.449137674618944,2.378414230005442
1.2413658170152087,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,2.6591479484724942
1.6007244024062173,1.2709816152101407,0.0,1.6088616538127065,0.0,2.4083189157584592,2.588435821108957,2.7831576837137404
1.67893539542235,1.3195079107728942,2.1897595699439445,1.5172912992053529,1.9493588689617927,1.6733200530681511,0.0,2.2645866205520235
1.3870232258442192,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,3.1622776601683795
1.2765180070092417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5444521049463789,1.4599744906233632,1.2599210498948732,0.0,0.0,3.1622776601683795,3.492849839314596,2.864202807204384
1.2202849358728105,1.0,4.641588833612778,0.0,0.0,0.0,0.0,0.0
1.6486864043382532,1.2820888539868154,1.9219973427746713,2.1508169151483236,1.8165902124584952,1.4832396974191326,0.0,1.632354899798094
1.6424877499640307,1.31101942303975,1.8069688693211896,1.5585222360615276,2.3874672772626644,1.51657508881031,0.0,0.0
1.7611592280484425,1.379729661461215,2.2306991044756197,0.0,2.073644135332772,1.0954451150103321,0.0,2.1706422081393097
2.1353391157842405,1.6282726554257878,2.2701886806493845,1.158292185288269,1.51657508881031,2.04939015319192,1.3416407864998738,2.365299197201011
1.4592328029610848,1.214814044039067,0.0,0.0,0.0,1.8165902124584952,5.0,2.8117066259517456
1.2915496650148839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3787157053417285,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,3.1622776601683795
1.2765180070092417,1.0717734625362931,0.0,0.0,0.0,3.331666249791536,0.0,2.8577975428007782
1.573118124014776,1.2589254117941673,2.024693852005457,1.6973426460728507,2.6076809620810595,1.8439088914585775,0.0,0.0
1.7006554259864737,1.3492828476735634,1.5604907507078847,0.0,0.0,2.23606797749979,1.9493588689617927,2.607116834203364
1.62035465297284,1.2820888539868154,2.369284502156768,0.0,2.280350850198276,1.9748417658131499,0.0,1.6088616538127065
1.6339204152187476,1.3492828476735634,2.6304121142856256,0.0,3.286335345030997,1.5491933384829668,2.1213203435596424,0.0
1.4890953247181091,1.174618943088019,0.0,0.0,1.6733200530681511,1.6733200530681511,0.0,2.4022104858861564
1.6466408667027277,1.3195079107728942,1.7758080034852015,2.0215250056184093,2.3664319132398464,1.4832396974191326,0.0,1.5383211346269174
1.360790000174377,1.1161231740339044,0.0,0.0,0.0,0.0,0.0,2.8577975428007782
1.6249778839784477,1.2923922207808318,3.292729632312839,0.0,2.258317958127243,1.140175425099138,0.0,1.632354899798094
1.65271758290573,1.31101942303975,2.7144176165949063,1.6088616538127065,2.32379000772445,0.0,0.0,0.0
1.5444521049463789,1.2457309396155174,0.0,0.0,2.0,0.0,4.711687595755898,2.4022104858861564
1.394950793962421,1.1161231740339044,0.0,0.0,0.0,2.23606797749979,5.0,2.23606797749979
1.2765180070092417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5338703441645076,1.214814044039067,0.0,1.825285251622753,2.073644135332772,2.073644135332772,0.0,1.825285251622753
1.3179806292130023,1.0,0.0,3.1622776601683795,0.0,4.08656334834051,0.0,0.0
1.360790000174377,1.1161231740339044,0.0,0.0,0.0,0.0,0.0,3.1622776601683795
1.5577156943237602,1.1962311988513155,0.0,1.6973426460728507,0.0,3.331666249791536,0.0,0.0
1.5544838261856166,1.466478780211681,1.2599210498948732,0.0,0.0,2.7386127875258306,2.792848008753788,2.957436025050745
