line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,word_count_trans,verb_percentage_trans,adj_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2765180070092417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,15,6.2,0.0,5.6000000000000005,1.4,6.2,25.0,1.6058144886858523,1.31101942303975,1.8370905500142276,0.0,2.3664319132398464,1.1832159566199232,2.4899799195977463,2.23606797749979
5,2,0.0,0.0,20.0,0.0,0.0,66.7,1.195813174500402,1.0717734625362931,0.0,0.0,4.47213595499958,0.0,0.0,2.8577975428007782
36,4,0.0,50.0,0.0,0.0,0.0,0.0,1.4890953247181091,1.148698354997035,0.0,2.6591479484724942,0.0,0.0,0.0,0.0
15,1,0.0,100.0,0.0,6.7,0.0,0.0,1.3510667516017707,1.0,0.0,3.1622776601683795,0.0,2.588435821108957,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0,1.360790000174377,1.0717734625362931,0.0,2.4022104858861564,0.0,2.4899799195977463,0.0,0.0
66,10,9.1,0.0,3.0,3.0,9.1,0.0,1.5928377813306158,1.2589254117941673,2.087759478663449,0.0,1.7320508075688772,1.7320508075688772,3.0166206257996713,0.0
18,3,0.0,0.0,0.0,0.0,0.0,66.7,1.3787157053417285,1.1161231740339044,0.0,0.0,0.0,0.0,0.0,2.8577975428007782
89,16,11.8,5.9,4.5,1.1,0.0,0.0,1.6466408667027277,1.3195079107728942,2.276638114962505,1.5585222360615276,2.1213203435596424,1.0488088481701516,0.0,0.0
14,2,0.0,0.0,0.0,0.0,0.0,0.0,1.3407492401952805,1.0717734625362931,0.0,0.0,0.0,0.0,0.0,0.0
54,11,8.3,8.3,3.7,1.9,8.3,8.3,1.5577156943237602,1.2709816152101407,2.024693852005457,1.6973426460728507,1.9235384061671346,1.378404875209022,2.8809720581775866,1.6973426460728507
