line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,Award,Bullet,Certification,Contact,Date,Degree,Heading,Interest,Location,Name,Organization,Skill,Summary,Title,Training,Unknown,Volunteer
145,19,8.7,30.4,2.8000000000000003,4.8,0.0,4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,14,6.7,26.700000000000003,3.5999999999999996,1.2,0.0,13.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,0.0,0.0,2.4,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,15,0.0,5.3,2.1999999999999997,4.3999999999999995,0.0,5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,19,8.7,13.0,3.4000000000000004,3.4000000000000004,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,15,5.8999999999999995,0.0,5.2,2.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,16,6.2,6.2,6.800000000000001,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,31,8.799999999999999,11.799999999999999,4.3,2.7,0.0,17.599999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,34,7.9,5.3,4.9,2.1999999999999997,0.0,15.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,23,20.0,8.0,4.8,1.6,0.0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,19,10.0,10.0,7.1,1.0,0.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,0.0,0.0,0.0,2.6,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,15,20.0,6.7,5.4,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,27,14.7,2.9000000000000004,2.1,4.7,2.9000000000000004,11.799999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,24,12.0,8.0,6.6000000000000005,0.7000000000000001,0.0,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,23,7.3999999999999995,0.0,4.7,3.1,0.0,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,13,15.4,0.0,4.6,0.0,0.0,15.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,17,10.5,5.3,2.9000000000000004,1.9,0.0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,24,15.4,3.8,4.9,1.4000000000000001,0.0,3.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
