line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
17,2,0.0,50.0,0.0,0.0,0.0,0.0,1.3275316748885193,0.0,0.0,0.0,0.0,3.6840314986403864,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0,1.3195079107728942,0.0,0.0,2.4899799195977463,1.2001600575667746,3.2172248249150837,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0,1.3195079107728942,0.0,0.0,2.4899799195977463,1.2001600575667746,3.2172248249150837,0.0,0.0
28,7,0.0,0.0,3.6,7.1,0.0,66.7,1.3954548940149718,0.0,1.8973665961010275,2.6645825188948455,1.216538436123333,0.0,0.0,8.167006795638168
271,49,8.6,6.9,5.5,3.3000000000000003,1.7000000000000002,10.3,1.7510434757409536,2.932575659723036,2.345207879911715,1.8165902124584952,1.126811819999242,1.9037782619633032,1.193483191927337,3.2093613071762426
84,14,18.8,6.2,2.4,2.4,0.0,18.8,1.557499545529136,4.33589667773576,1.5491933384829668,1.5491933384829668,1.091493425617897,1.8370905500142276,0.0,4.33589667773576
10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2589254117941673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2457309396155174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,10,0.0,0.0,1.4,5.5,14.3,42.9,1.5357915933617867,0.0,1.1832159566199232,2.345207879911715,1.185867778627801,0.0,2.4272360429169444,6.549809157525126
4,2,0.0,0.0,0.0,0.0,0.0,50.0,1.148698354997035,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755
97,15,6.7,13.3,4.1000000000000005,1.0,0.0,6.7,1.580073077972056,2.588435821108957,2.024845673131659,1.0,1.0,2.369284502156768,0.0,2.588435821108957
157,25,3.6,21.4,4.5,2.5,0.0,3.6,1.6580207646264504,1.8973665961010275,2.1213203435596424,1.5811388300841898,1.0959582263852172,2.776331098545561,0.0,1.8973665961010275
35,5,0.0,0.0,2.9000000000000004,5.7,0.0,42.9,1.426943588457651,0.0,1.7029386365926402,2.3874672772626644,1.19011104450985,0.0,0.0,6.549809157525126
38,5,20.0,0.0,0.0,0.0,20.0,20.0,1.4387268865499157,4.47213595499958,0.0,0.0,0.0,0.0,2.7144176165949063,4.47213595499958
44,4,0.0,0.0,0.0,2.3,0.0,100.0,1.4599744906233632,0.0,0.0,1.51657508881031,1.0868579428992127,0.0,0.0,10.0
8,2,50.0,0.0,0.0,0.0,0.0,0.0,1.2311444133449163,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0
14,2,0.0,50.0,0.0,0.0,0.0,0.0,1.3020054543174677,0.0,0.0,0.0,0.0,3.6840314986403864,0.0,0.0
299,53,3.2,3.2,5.0,3.3000000000000003,9.5,25.4,1.768345488794523,1.7888543819998317,2.23606797749979,1.8165902124584952,1.126811819999242,1.4736125994561546,2.1179117921274466,5.039841267341661
69,14,6.7,6.7,5.800000000000001,1.4,6.7,6.7,1.5271612967071428,2.588435821108957,2.4083189157584592,1.1832159566199232,1.0342196941293802,1.885203631020986,1.885203631020986,2.588435821108957
300,47,11.3,7.5,5.0,2.7,0.0,15.1,1.7689360204744258,3.361547262794322,2.23606797749979,1.6431676725154984,1.1044253752367947,1.9574338205844317,0.0,3.8858718455450894
498,78,6.2,8.200000000000001,3.6,4.4,2.1,32.0,1.8608995646190873,2.4899799195977463,1.8973665961010275,2.0976176963403033,1.1596989598793381,2.0165296752181043,1.2805791649874942,5.656854249492381
7,2,0.0,0.0,0.0,0.0,0.0,50.0,1.214814044039067,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755
69,11,0.0,6.7,0.0,5.800000000000001,6.7,60.0,1.5271612967071428,0.0,0.0,2.4083189157584592,1.1921826559427973,1.885203631020986,1.885203631020986,7.745966692414834
106,16,10.5,5.3,3.8,2.8000000000000003,0.0,26.3,1.5941551500450146,3.24037034920393,1.9493588689617927,1.6733200530681511,1.108449222600272,1.7435134012651283,0.0,5.128352561983234
19,2,0.0,0.0,0.0,0.0,0.0,100.0,1.3423796509621049,0.0,0.0,0.0,0.0,0.0,0.0,10.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2457309396155174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,44,2.0,0.0,0.0,10.0,12.2,67.30000000000001,1.4787576366283137,1.4142135623730951,0.0,3.1622776601683795,1.2589254117941673,0.0,2.3020775179631467,8.203657720797475
6,1,100.0,0.0,0.0,0.0,0.0,0.0,1.1962311988513155,10.0,0.0,0.0,0.0,0.0,0.0,0.0
90,12,7.1,21.4,3.3000000000000003,2.2,0.0,7.1,1.5682823361402,2.6645825188948455,1.8165902124584952,1.4832396974191326,1.0820373898183429,2.776331098545561,0.0,2.6645825188948455
87,15,5.9,5.9,5.7,2.3,0.0,0.0,1.5629746177521227,2.4289915602982237,2.3874672772626644,1.51657508881031,1.0868579428992127,1.8069688693211896,0.0,0.0
163,25,11.1,0.0,4.3,1.2,0.0,22.2,1.6642507465527614,3.331666249791536,2.073644135332772,1.0954451150103321,1.0183993761470242,0.0,0.0,4.711687595755898
923,131,11.7,1.7999999999999998,2.3,4.2,1.7999999999999998,31.3,1.9793389462888913,3.420526275297414,1.51657508881031,2.04939015319192,1.1543165676600577,1.21644039911468,1.21644039911468,5.594640292279746
30,7,0.0,0.0,0.0,3.3000000000000003,25.0,62.5,1.405115826483646,0.0,0.0,1.8165902124584952,1.126811819999242,0.0,2.924017738212866,7.905694150420948
10,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2589254117941673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,100.0,1.335141362540313,0.0,0.0,0.0,0.0,0.0,0.0,10.0
9,2,0.0,0.0,0.0,11.1,0.0,66.7,1.2457309396155174,0.0,0.0,3.331666249791536,1.2721323532877689,0.0,0.0,8.167006795638168
