line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage
28,5,0.0,0.0,0.0,0.0,0.0,100.0
42,2,0.0,0.0,0.0,14.3,33.300000000000004,0.0
12,2,0.0,0.0,0.0,0.0,0.0,100.0
8,2,0.0,0.0,12.5,0.0,0.0,0.0
91,16,5.9,5.9,6.6000000000000005,1.1,5.9,5.9
59,10,9.1,9.1,5.1,3.4000000000000004,0.0,9.1
332,53,13.8,5.2,4.8,1.2,0.0,13.8
41,7,0.0,0.0,0.0,4.9,12.5,62.5
43,11,16.7,8.3,11.6,2.3,0.0,8.3
76,9,0.0,16.7,0.0,6.6000000000000005,0.0,50.0
38,1,0.0,0.0,0.0,18.4,0.0,0.0
501,64,6.800000000000001,3.4000000000000004,1.4,5.6000000000000005,2.3,19.3
218,34,2.5,2.5,3.7,2.8000000000000003,0.0,32.5
224,33,5.0,2.5,2.7,3.1,0.0,30.0
14,2,0.0,0.0,0.0,0.0,50.0,0.0
11,2,0.0,0.0,0.0,0.0,0.0,100.0
13,2,0.0,0.0,0.0,0.0,0.0,100.0
59,10,9.1,18.2,5.1,3.4000000000000004,0.0,0.0
42,9,0.0,0.0,0.0,9.5,20.0,26.700000000000003
108,19,14.3,14.3,4.6,2.8000000000000003,0.0,9.5
19,2,50.0,0.0,0.0,0.0,0.0,0.0
75,9,0.0,0.0,0.0,2.7,0.0,81.8
23,4,0.0,0.0,0.0,4.3,0.0,100.0
38,5,0.0,0.0,2.6,2.6,0.0,50.0
23,1,0.0,0.0,0.0,13.0,0.0,66.7
73,16,6.2,6.2,6.800000000000001,0.0,0.0,0.0
29,5,0.0,0.0,6.9,0.0,0.0,20.0
9,2,0.0,0.0,0.0,0.0,66.7,0.0
109,18,4.3,4.3,3.7,5.5,0.0,13.0
31,8,0.0,0.0,0.0,16.1,23.1,38.5
7,1,0.0,0.0,0.0,0.0,0.0,0.0
192,27,14.7,2.9000000000000004,2.1,4.7,2.9000000000000004,11.8
117,2,0.0,0.0,0.0,76.9,0.0,50.0
43,7,0.0,25.0,2.3,7.000000000000001,12.5,0.0
272,37,8.7,6.5,1.7999999999999998,3.3000000000000003,0.0,30.4
90,19,15.8,10.5,12.2,0.0,0.0,0.0
25,3,0.0,0.0,0.0,0.0,0.0,100.0
271,41,11.4,6.800000000000001,4.1000000000000005,1.1,0.0,22.7
20,4,0.0,0.0,0.0,0.0,40.0,40.0
28,5,0.0,0.0,0.0,3.6,14.3,57.1
93,15,12.5,12.5,5.4,1.1,0.0,25.0
53,6,0.0,0.0,1.9,3.8,0.0,0.0
19,3,0.0,0.0,0.0,0.0,0.0,100.0
55,8,11.1,22.2,3.6,1.7999999999999998,0.0,0.0
20,2,0.0,0.0,0.0,5.0,0.0,66.7
84,14,14.3,0.0,4.8,0.0,0.0,28.6
7,1,0.0,0.0,0.0,0.0,0.0,0.0
241,35,13.5,13.5,3.3000000000000003,1.2,0.0,2.7
46,8,0.0,0.0,2.2,4.3,20.0,40.0
10,3,0.0,0.0,10.0,0.0,66.7,0.0
11,2,0.0,0.0,0.0,0.0,0.0,50.0
93,15,5.3,10.5,3.2,4.3,0.0,5.3
411,61,8.799999999999999,16.2,3.9,1.7000000000000002,2.9000000000000004,19.1
31,5,0.0,0.0,0.0,3.2,14.3,57.1
65,10,8.3,0.0,3.1,3.1,0.0,16.7
72,10,0.0,0.0,0.0,8.3,12.5,50.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
88,1,0.0,0.0,0.0,100.0,0.0,0.0
83,14,21.4,0.0,3.6,0.0,0.0,7.1
69,13,7.1,14.3,5.800000000000001,4.3,7.1,0.0
79,12,8.3,0.0,3.8,1.3,8.3,58.3
62,9,0.0,0.0,1.6,3.2,16.7,58.3
149,20,0.0,26.1,2.0,3.4000000000000004,0.0,13.0
29,3,33.300000000000004,0.0,0.0,0.0,0.0,0.0
59,13,14.3,7.1,6.800000000000001,1.7000000000000002,0.0,0.0
15,4,0.0,0.0,0.0,13.3,50.0,16.7
24,4,0.0,0.0,0.0,4.2,50.0,50.0
78,10,0.0,7.7,1.3,5.1,0.0,0.0
28,6,0.0,0.0,0.0,3.6,0.0,71.39999999999999
23,4,0.0,25.0,4.3,0.0,0.0,50.0
10,2,33.300000000000004,0.0,10.0,10.0,0.0,0.0
85,14,0.0,6.2,4.7,3.5000000000000004,0.0,12.5
9,1,0.0,0.0,0.0,0.0,0.0,0.0
161,26,23.1,11.5,4.3,0.0,0.0,7.7
9,1,0.0,0.0,0.0,0.0,0.0,0.0
33,4,0.0,25.0,0.0,0.0,0.0,75.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
43,8,0.0,0.0,2.3,0.0,25.0,50.0
29,6,0.0,11.1,0.0,3.4000000000000004,22.2,44.4
21,4,0.0,0.0,0.0,4.8,20.0,60.0
47,6,0.0,0.0,0.0,2.1,0.0,85.7
71,10,0.0,18.2,2.8000000000000003,1.4,0.0,0.0
14,2,50.0,0.0,0.0,0.0,0.0,50.0
32,4,0.0,0.0,3.1,0.0,0.0,50.0
14,1,0.0,0.0,0.0,0.0,0.0,0.0
407,66,5.0,7.5,4.2,4.2,6.2,18.8
61,13,7.1,7.1,8.200000000000001,1.6,7.1,14.3
23,6,0.0,0.0,0.0,8.7,25.0,50.0
38,5,0.0,0.0,0.0,0.0,20.0,80.0
82,11,6.7,0.0,0.0,6.1,6.7,60.0
23,2,0.0,0.0,0.0,0.0,0.0,100.0
473,54,5.6000000000000005,4.2,1.7000000000000002,5.1,0.0,33.300000000000004
93,15,20.0,20.0,3.2,0.0,6.7,0.0
26,4,0.0,0.0,3.8,0.0,0.0,0.0
137,21,4.0,4.0,2.9000000000000004,2.9000000000000004,0.0,4.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0
124,19,0.0,0.0,4.8,4.0,0.0,33.300000000000004
49,8,0.0,11.1,4.1000000000000005,2.0,0.0,11.1
36,6,0.0,14.3,0.0,2.8000000000000003,0.0,57.1
86,14,11.1,0.0,5.800000000000001,4.7,0.0,0.0
19,4,0.0,0.0,0.0,5.3,40.0,40.0
66,10,0.0,16.7,1.5,3.0,0.0,58.3
104,19,4.2,4.2,4.8,4.8,0.0,12.5
6,1,0.0,100.0,0.0,0.0,0.0,0.0
34,6,16.7,0.0,2.9000000000000004,0.0,0.0,16.7
21,3,0.0,0.0,0.0,0.0,0.0,100.0
593,82,11.3,4.7,2.4,4.6,2.8000000000000003,19.8
30,5,0.0,0.0,0.0,6.7,25.0,37.5
13,3,33.300000000000004,0.0,7.7,0.0,33.300000000000004,0.0
19,2,0.0,0.0,0.0,0.0,0.0,100.0
11,1,0.0,0.0,0.0,27.3,33.300000000000004,0.0
58,8,0.0,0.0,1.7000000000000002,0.0,0.0,87.5
83,17,5.6000000000000005,22.2,4.8,1.2,0.0,0.0
40,7,0.0,12.5,2.5,2.5,0.0,12.5
41,5,0.0,0.0,0.0,2.4,16.7,50.0
19,2,0.0,0.0,0.0,0.0,0.0,100.0
64,12,7.7,7.7,4.7,1.6,0.0,0.0
59,8,0.0,0.0,0.0,5.1,10.0,60.0
10,3,0.0,0.0,10.0,0.0,66.7,0.0
55,11,0.0,0.0,0.0,14.499999999999998,0.0,52.6
276,41,13.6,4.5,4.3,1.1,0.0,9.1
28,4,0.0,0.0,0.0,0.0,0.0,75.0
15,3,0.0,0.0,0.0,0.0,0.0,66.7
18,4,0.0,0.0,0.0,5.6000000000000005,40.0,40.0
73,8,0.0,12.5,1.4,1.4,0.0,62.5
27,3,33.300000000000004,0.0,0.0,0.0,0.0,66.7
32,6,11.1,0.0,0.0,6.2,22.2,44.4
20,4,0.0,25.0,0.0,0.0,0.0,75.0
52,10,0.0,0.0,0.0,5.800000000000001,0.0,71.39999999999999
19,1,0.0,0.0,0.0,10.5,0.0,100.0
49,9,0.0,0.0,0.0,4.1000000000000005,18.2,63.6
94,15,5.3,26.3,3.2,3.2,10.5,5.3
259,38,11.9,4.8,3.5000000000000004,1.5,2.4,19.0
106,15,5.9,23.5,3.8,2.8000000000000003,0.0,11.8
68,11,0.0,7.7,2.9000000000000004,2.9000000000000004,7.7,30.8
53,8,0.0,0.0,0.0,3.8,0.0,80.0
15,3,33.300000000000004,0.0,0.0,0.0,0.0,66.7
90,12,6.2,0.0,2.2,5.6000000000000005,6.2,37.5
64,8,0.0,0.0,0.0,3.1,0.0,87.5
20,3,0.0,0.0,0.0,5.0,25.0,25.0
11,2,0.0,0.0,0.0,0.0,0.0,50.0
60,9,0.0,0.0,1.7000000000000002,1.7000000000000002,11.1,44.4
1170,204,12.6,9.5,5.4,2.4,6.1,10.8
34,4,0.0,0.0,2.9000000000000004,2.9000000000000004,0.0,75.0
69,10,27.3,9.1,2.9000000000000004,1.4,0.0,0.0
71,9,0.0,0.0,1.4,2.8000000000000003,0.0,88.9
199,30,8.3,0.0,1.5,4.0,8.3,19.4
30,2,0.0,0.0,0.0,3.3000000000000003,0.0,100.0
22,4,0.0,0.0,0.0,0.0,0.0,100.0
64,11,7.7,7.7,3.1,3.1,0.0,0.0
21,4,0.0,0.0,0.0,4.8,40.0,40.0
18,2,0.0,25.0,0.0,22.2,0.0,0.0
31,3,0.0,0.0,0.0,0.0,0.0,100.0
101,15,5.3,10.5,2.0,5.0,0.0,47.4
114,20,4.2,8.3,1.7999999999999998,3.5000000000000004,12.5,37.5
20,3,0.0,25.0,0.0,5.0,0.0,0.0
22,2,0.0,0.0,0.0,13.6,0.0,0.0
87,11,14.3,7.1,1.1,3.4000000000000004,7.1,35.7
75,11,27.3,9.1,5.3,0.0,0.0,0.0
521,85,16.7,15.6,4.6,1.0,0.0,1.1
60,9,0.0,11.1,3.3000000000000003,0.0,11.1,22.2
85,12,16.7,8.3,4.7,0.0,0.0,25.0
69,11,0.0,18.2,5.800000000000001,0.0,0.0,36.4
18,3,0.0,0.0,0.0,5.6000000000000005,25.0,50.0
